id,year,district_code,district_name,dong_code,dong_name,lot_type_code,lot_type,main_no,sub_no,building_name,contract_day,price,arch_area,land_area,floor,built_year,housing_type,deal_type,address,latitude,longitude
608,2025,11215,광진구,10500,자양동,1,대지,861,0,자양호반써밋,2025-05-27,975000000,40.183,0.0,16.0,2021.0,아파트,중개거래,서울특별시 광진구 자양동 0861-0000 자양호반써밋,37.5374300374627,127.068800532801
609,2025,11215,광진구,10500,자양동,1,대지,810,0,자양힐101동,2025-03-22,895000000,82.75,0.0,5.0,2005.0,아파트,중개거래,서울특별시 광진구 자양동 0810-0000 자양힐101동,37.5401127232157,127.081730289398
610,2025,11215,광진구,10500,자양동,1,대지,660,18,장안빌라,2025-06-05,470000000,50.14,37.0,1.0,1990.0,연립다세대,중개거래,서울특별시 광진구 자양동 0660-0018 장안빌라,37.5322867158221,127.082519826493
611,2025,11215,광진구,10300,구의동,1,대지,248,7,장원캐슬,2025-07-05,380000000,29.88,21.0,3.0,2018.0,연립다세대,중개거래,서울특별시 광진구 구의동 0248-0007 장원캐슬,37.5400213236368,127.086218624132
612,2025,11215,광진구,10500,자양동,1,대지,649,5,정든타운,2025-02-18,450000000,60.56,25.0,4.0,2002.0,연립다세대,직거래,서울특별시 광진구 자양동 0649-0005 정든타운,37.530484044806,127.08061829374
613,2025,11215,광진구,10100,중곡동,1,대지,126,42,정수아트빌(126-42),2024-12-19,349000000,49.49,33.0,1.0,2014.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0126-0042 정수아트빌(126-42),37.5583188458847,127.086645444599
614,2025,11215,광진구,10100,중곡동,1,대지,96,27,정수아트빌B동,2025-07-15,170000000,20.95,13.0,5.0,2003.0,연립다세대,직거래,서울특별시 광진구 중곡동 0096-0027 정수아트빌B동,37.5548704323653,127.090524285542
615,2025,11215,광진구,10300,구의동,1,대지,210,62,정운빌라,2025-06-24,310000000,35.23,20.0,2.0,2013.0,연립다세대,중개거래,서울특별시 광진구 구의동 0210-0062 정운빌라,37.539967573202,127.091669220306
616,2025,11215,광진구,10700,화양동,1,대지,111,22,정익제이타워,2025-06-17,170000000,17.1,25.48,4.0,,오피스텔,중개거래,서울특별시 광진구 화양동 0111-0022 정익제이타워,37.546588932672,127.073059236964
617,2025,11215,광진구,10100,중곡동,1,대지,639,4,정익제이타워1차,2025-02-26,187000000,15.73,25.93,8.0,2018.0,오피스텔,중개거래,서울특별시 광진구 중곡동 0639-0004 정익제이타워1차,37.5583245106357,127.077731011184
618,2025,11215,광진구,10100,중곡동,1,대지,639,6,정익제이타워2차,2025-05-17,198000000,15.93,27.042,11.0,2020.0,오피스텔,중개거래,서울특별시 광진구 중곡동 0639-0006 정익제이타워2차,37.5581131300193,127.078014414076
619,2025,11215,광진구,10700,화양동,1,대지,111,37,정익제이타워2차102동,2025-04-25,224000000,15.667,22.9,6.0,2022.0,오피스텔,직거래,서울특별시 광진구 화양동 0111-0037 정익제이타워2차102동,37.5468628715603,127.072269871354
620,2025,11215,광진구,10100,중곡동,1,대지,257,8,정인빌B,2025-05-28,492000000,49.43,28.0,6.0,2017.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0257-0008 정인빌B,37.561711160965,127.079111851095
621,2025,11215,광진구,10500,자양동,1,대지,654,21,정현빌라,2025-04-11,403000000,52.56,20.0,4.0,1993.0,연립다세대,중개거래,서울특별시 광진구 자양동 0654-0021 정현빌라,37.5325700791411,127.081874682118
622,2025,11215,광진구,10300,구의동,1,대지,60,15,정화그린빌,2025-04-22,400000000,59.93,34.0,3.0,2011.0,연립다세대,중개거래,서울특별시 광진구 구의동 0060-0015 정화그린빌,37.5483244237524,127.091211526207
623,2025,11215,광진구,10500,자양동,1,대지,227,98,제이와이빌라,2025-06-25,430000000,13.54,9.0,4.0,2017.0,연립다세대,중개거래,서울특별시 광진구 자양동 0227-0098 제이와이빌라,37.53758864738,127.075948924833
624,2025,11215,광진구,10500,자양동,1,대지,608,21,제이원하이텔,2025-03-11,165000000,23.94,29.49,4.0,2004.0,오피스텔,중개거래,서울특별시 광진구 자양동 0608-0021 제이원하이텔,37.5329822584672,127.076125729028
625,2025,11215,광진구,10500,자양동,1,대지,55,4,제이파크,2025-06-02,1350000000,27.01,16.0,3.0,2017.0,연립다세대,중개거래,서울특별시 광진구 자양동 0055-0004 제이파크,37.5350286132454,127.063636880006
626,2025,11215,광진구,10300,구의동,1,대지,204,4,조일리더스빌,2025-06-13,470000000,54.02,32.0,3.0,2017.0,연립다세대,중개거래,서울특별시 광진구 구의동 0204-0004 조일리더스빌,37.5433727604284,127.092196505353
627,2025,11215,광진구,10100,중곡동,1,대지,130,5,주성AURA,2025-06-20,515000000,67.8,0.0,1.0,2009.0,아파트,중개거래,서울특별시 광진구 중곡동 0130-0005 주성AURA,37.5556350613344,127.086007885908
628,2025,11215,광진구,10400,광장동,1,대지,120,0,주성아우라 오피스텔,2025-02-25,140000000,29.83,43.91,6.0,2011.0,오피스텔,직거래,서울특별시 광진구 광장동 0120-0000 주성아우라 오피스텔,37.5507588208397,127.109266202988
